word	meaning	pos	category	priority
abduction	アブダクション；最良説明への推論	n	Philosophy core	5
a priori	ア・プリオリな；経験に依存せずに	adj	Philosophy core	5
a posteriori	ア・ポステリオリな；経験に基づく	adj	Philosophy core	5
actualism	現実主義；可能世界論における現実主義	n	Metaphysics	4
agency	行為者性；行為能力	n	Philosophy core	5
agent	行為者；主体	n	Philosophy core	5
alethic	真理に関する；真理様相の	adj	Logic / metaphysics	4
analytic	分析的な；分析哲学の	adj	Philosophy core	5
analyticity	分析性	n	Philosophy core	4
anti-realism	反実在論	n	Metaphysics	5
appearance	現れ；見かけ	n	Phenomenology	4
argument	論証；議論	n	Argumentation	5
argumentative	論証的な；議論に関する	adj	Argumentation	4
assertion	主張；断言	n	Philosophy core	5
attitude	態度；命題的態度	n	Philosophy core	4
attribution	帰属；属性付与	n	Philosophy core	4
autonomy	自律	n	Ethics / social philosophy	5
axiology	価値論	n	Ethics	4
axiom	公理	n	Logic	4
basic belief	基礎的信念	n	Epistemology	4
belief	信念	n	Epistemology	5
belief revision	信念改訂	n	Epistemology	4
causal	因果的な	adj	Philosophy of science	5
causation	因果；因果関係	n	Metaphysics	5
cause	原因；原因となるもの	n	Metaphysics	5
coherentism	整合説；整合主義	n	Epistemology	4
compatibilism	両立論	n	Action / free will	4
concept	概念	n	Philosophy core	5
conceptual analysis	概念分析	n	Philosophy core	5
conceptual engineering	概念工学	n	Philosophy of language	4
conceptual scheme	概念枠組み	n	Philosophy core	4
condition	条件	n	Philosophy core	5
constitutive	構成的な	adj	Philosophy core	5
contingency	偶然性；非必然性	n	Metaphysics	5
contingent	偶然的な；必然ではない	adj	Metaphysics	5
contradiction	矛盾	n	Logic	5
contradictory	矛盾した	adj	Logic	4
contrary	反対の；反対命題	adj	Logic	3
counterexample	反例	n	Argumentation	5
counterfactual	反事実的な；反事実条件文	adj	Metaphysics	5
credence	信念度；確信度	n	Epistemology	4
criterion	基準	n	Philosophy core	5
deduction	演繹	n	Logic	5
deductive	演繹的な	adj	Logic	5
defeasibility	取消可能性；反証可能性	n	Epistemology	4
defeasible	追加情報により覆りうる	adj	Epistemology	5
defeater	正当化を打ち消す要因	n	Epistemology	5
definition	定義	n	Philosophy core	5
deontic	義務・許可に関する	adj	Ethics / logic	4
deontology	義務論	n	Ethics	5
descriptive	記述的な	adj	Philosophy core	5
determinism	決定論	n	Action / free will	5
dialectic	議論の応酬；弁証法	n	Argumentation	5
disposition	傾向性；性向	n	Metaphysics	4
dispositional	傾向性的な	adj	Metaphysics	4
doxastic	信念に関する	adj	Epistemology	5
dualism	二元論	n	Philosophy of mind	5
duty	義務	n	Ethics	5
emergence	創発	n	Metaphysics	4
emergent	創発的な	adj	Metaphysics	4
empirical	経験的な；実証的な	adj	Philosophy of science	5
empiricism	経験論	n	Epistemology	5
