id,section,word,meaning,example,exampleJa,category,note
1,1,at least,少なくとも,The expression “at least” is common in academic prose.,「at least（少なくとも）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
2,1,at first,最初は,The expression “at first” is common in academic prose.,「at first（最初は）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
3,1,at last,ついに,The expression “at last” is common in academic prose.,「at last（ついに）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
4,1,at once,すぐに；同時に,The expression “at once” is common in academic prose.,「at once（すぐに；同時に）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
5,1,at the same time,同時に；その一方で,The expression “at the same time” is common in academic prose.,「at the same time（同時に；その一方で）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
6,1,at this point,この時点で,The expression “at this point” is common in academic prose.,「at this point（この時点で）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
7,1,at present,現在のところ,The expression “at present” is common in academic prose.,「at present（現在のところ）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
8,1,at times,時には,The expression “at times” is common in academic prose.,「at times（時には）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
9,1,at all,少しでも；まったく,The expression “at all” is common in academic prose.,「at all（少しでも；まったく）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
10,1,for example,例えば,The expression “for example” is common in academic prose.,「for example（例えば）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
11,1,for instance,例えば,The expression “for instance” is common in academic prose.,「for instance（例えば）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
12,1,for now,今のところ,The expression “for now” is common in academic prose.,「for now（今のところ）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
13,1,for this reason,この理由から,The expression “for this reason” is common in academic prose.,「for this reason（この理由から）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
14,1,in fact,実際；実のところ,The expression “in fact” is common in academic prose.,「in fact（実際；実のところ）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
15,1,in general,一般に,The expression “in general” is common in academic prose.,「in general（一般に）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
16,1,in particular,特に,The expression “in particular” is common in academic prose.,「in particular（特に）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
17,1,in this case,この場合,The expression “in this case” is common in academic prose.,「in this case（この場合）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
18,1,in that case,その場合,The expression “in that case” is common in academic prose.,「in that case（その場合）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
19,1,in this way,このようにして,The expression “in this way” is common in academic prose.,「in this way（このようにして）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
20,1,in other words,言い換えれば,The expression “in other words” is common in academic prose.,「in other words（言い換えれば）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
21,1,in the end,結局,The expression “in the end” is common in academic prose.,「in the end（結局）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
22,1,in addition,さらに,The expression “in addition” is common in academic prose.,「in addition（さらに）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
23,1,in contrast,対照的に,The expression “in contrast” is common in academic prose.,「in contrast（対照的に）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
24,1,by contrast,対照的に,The expression “by contrast” is common in academic prose.,「by contrast（対照的に）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
25,1,as a result,その結果,The expression “as a result” is common in academic prose.,「as a result（その結果）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
26,1,as a whole,全体として,The expression “as a whole” is common in academic prose.,「as a whole（全体として）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
27,1,as usual,いつものように,The expression “as usual” is common in academic prose.,「as usual（いつものように）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
28,1,as follows,次のように,The expression “as follows” is common in academic prose.,「as follows（次のように）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
29,1,such as,〜のような,The expression “such as” is common in academic prose.,「such as（〜のような）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
30,1,as well as,〜だけでなく…も,The expression “as well as” is common in academic prose.,「as well as（〜だけでなく…も）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
31,1,because of,〜のために；〜が原因で,The expression “because of” is common in academic prose.,「because of（〜のために；〜が原因で）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
32,1,due to,〜のために；〜に起因して,The expression “due to” is common in academic prose.,「due to（〜のために；〜に起因して）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
33,1,owing to,〜のために,The expression “owing to” is common in academic prose.,「owing to（〜のために）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
34,1,instead of,〜の代わりに；〜ではなく,The expression “instead of” is common in academic prose.,「instead of（〜の代わりに；〜ではなく）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
35,1,rather than,〜ではなく,The expression “rather than” is common in academic prose.,「rather than（〜ではなく）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
36,1,according to,〜によれば,The expression “according to” is common in academic prose.,「according to（〜によれば）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
37,1,apart from,〜を除いて；〜は別として,The expression “apart from” is common in academic prose.,「apart from（〜を除いて；〜は別として）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
38,1,except for,〜を除いて,The expression “except for” is common in academic prose.,「except for（〜を除いて）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
39,1,along with,〜とともに,The expression “along with” is common in academic prose.,「along with（〜とともに）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
40,1,together with,〜とともに,The expression “together with” is common in academic prose.,「together with（〜とともに）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
41,1,more than,〜より多く；単なる〜以上,The expression “more than” is common in academic prose.,「more than（〜より多く；単なる〜以上）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
42,1,less than,〜未満；〜ほどではない,The expression “less than” is common in academic prose.,「less than（〜未満；〜ほどではない）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
43,1,one of,〜のうちの一つ,The expression “one of” is common in academic prose.,「one of（〜のうちの一つ）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
44,1,a number of,いくつかの；多数の,The expression “a number of” is common in academic prose.,「a number of（いくつかの；多数の）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
45,1,a kind of,一種の,The expression “a kind of” is common in academic prose.,「a kind of（一種の）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
46,1,a sort of,一種の,The expression “a sort of” is common in academic prose.,「a sort of（一種の）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
47,1,a series of,一連の,The expression “a series of” is common in academic prose.,「a series of（一連の）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
48,1,a range of,さまざまな,The expression “a range of” is common in academic prose.,「a range of（さまざまな）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
49,1,a variety of,さまざまな,The expression “a variety of” is common in academic prose.,「a variety of（さまざまな）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
50,1,a great deal of,多量の,The expression “a great deal of” is common in academic prose.,「a great deal of（多量の）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
51,1,the same as,〜と同じ,The expression “the same as” is common in academic prose.,「the same as（〜と同じ）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
52,1,different from,〜とは異なる,The expression “different from” is common in academic prose.,「different from（〜とは異なる）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
53,1,similar to,〜に似ている,The expression “similar to” is common in academic prose.,「similar to（〜に似ている）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
54,1,close to,〜に近い,The expression “close to” is common in academic prose.,「close to（〜に近い）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
55,1,far from,〜から程遠い；決して〜ではない,The expression “far from” is common in academic prose.,「far from（〜から程遠い；決して〜ではない）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
56,1,in place of,〜の代わりに,The expression “in place of” is common in academic prose.,「in place of（〜の代わりに）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
57,1,in spite of,〜にもかかわらず,The expression “in spite of” is common in academic prose.,「in spite of（〜にもかかわらず）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
58,1,despite,〜にもかかわらず,The expression “despite” is common in academic prose.,「despite（〜にもかかわらず）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
59,1,even if,たとえ〜でも,The expression “even if” is common in academic prose.,「even if（たとえ〜でも）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
60,1,even though,〜にもかかわらず,The expression “even though” is common in academic prose.,「even though（〜にもかかわらず）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
61,1,although,〜だけれども,The expression “although” is common in academic prose.,「although（〜だけれども）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
62,1,though,〜だけれども,The expression “though” is common in academic prose.,「though（〜だけれども）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
63,1,while,〜する一方で,The expression “while” is common in academic prose.,「while（〜する一方で）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
64,1,whereas,〜である一方で,The expression “whereas” is common in academic prose.,「whereas（〜である一方で）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
65,1,if so,もしそうなら,The expression “if so” is common in academic prose.,「if so（もしそうなら）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
66,1,if not,もしそうでなければ,The expression “if not” is common in academic prose.,「if not（もしそうでなければ）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
67,1,if possible,可能なら,The expression “if possible” is common in academic prose.,「if possible（可能なら）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
68,1,if necessary,必要なら,The expression “if necessary” is common in academic prose.,「if necessary（必要なら）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
69,1,as if,まるで〜かのように,The expression “as if” is common in academic prose.,「as if（まるで〜かのように）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
70,1,as though,まるで〜かのように,The expression “as though” is common in academic prose.,「as though（まるで〜かのように）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
71,1,so that,〜するように；その結果,The expression “so that” is common in academic prose.,「so that（〜するように；その結果）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
72,1,in order to,〜するために,The expression “in order to” is common in academic prose.,「in order to（〜するために）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
73,1,so as to,〜するために,The expression “so as to” is common in academic prose.,「so as to（〜するために）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
74,1,whether or not,〜であるかどうかにかかわらず,The expression “whether or not” is common in academic prose.,「whether or not（〜であるかどうかにかかわらず）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
75,1,both A and B,AとBの両方,The expression “both A and B” is common in academic prose.,「both A and B（AとBの両方）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
76,1,either A or B,AかBのどちらか,The expression “either A or B” is common in academic prose.,「either A or B（AかBのどちらか）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
77,1,neither A nor B,AでもBでもない,The expression “neither A nor B” is common in academic prose.,「neither A nor B（AでもBでもない）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
78,1,not only A but also B,AだけでなくBも,The expression “not only A but also B” is common in academic prose.,「not only A but also B（AだけでなくBも）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
79,1,whether A or B,AであろうとBであろうと,The expression “whether A or B” is common in academic prose.,「whether A or B（AであろうとBであろうと）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
80,1,from A to B,AからBまで,The expression “from A to B” is common in academic prose.,「from A to B（AからBまで）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
81,1,between A and B,AとBの間に,The expression “between A and B” is common in academic prose.,「between A and B（AとBの間に）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
82,1,among other things,とりわけ；その他のこととともに,The expression “among other things” is common in academic prose.,「among other things（とりわけ；その他のこととともに）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
83,1,and so on,など,The expression “and so on” is common in academic prose.,「and so on（など）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
84,1,and so forth,など,The expression “and so forth” is common in academic prose.,「and so forth（など）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
85,1,as such,そのようなものとして；したがって,The expression “as such” is common in academic prose.,「as such（そのようなものとして；したがって）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
86,1,by itself,それ自体で；単独で,The expression “by itself” is common in academic prose.,「by itself（それ自体で；単独で）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
87,1,on its own,それ単独で,The expression “on its own” is common in academic prose.,「on its own（それ単独で）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
88,1,in itself,それ自体では,The expression “in itself” is common in academic prose.,「in itself（それ自体では）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
89,1,as much as,〜と同じくらい,The expression “as much as” is common in academic prose.,「as much as（〜と同じくらい）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
90,1,as far as,〜する限り；〜に関する限り,The expression “as far as” is common in academic prose.,「as far as（〜する限り；〜に関する限り）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
91,1,as long as,〜する限り,The expression “as long as” is common in academic prose.,「as long as（〜する限り）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
92,1,as soon as,〜するとすぐに,The expression “as soon as” is common in academic prose.,「as soon as（〜するとすぐに）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
93,1,from then on,それ以降,The expression “from then on” is common in academic prose.,「from then on（それ以降）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
94,1,by then,その時までに,The expression “by then” is common in academic prose.,「by then（その時までに）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
95,1,before long,まもなく,The expression “before long” is common in academic prose.,「before long（まもなく）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
96,1,once again,もう一度；再び,The expression “once again” is common in academic prose.,「once again（もう一度；再び）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
97,1,over time,時間とともに,The expression “over time” is common in academic prose.,「over time（時間とともに）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
98,1,so far,これまでのところ,The expression “so far” is common in academic prose.,「so far（これまでのところ）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
99,1,from time to time,時折,The expression “from time to time” is common in academic prose.,「from time to time（時折）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
100,1,again and again,何度も,The expression “again and again” is common in academic prose.,「again and again（何度も）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
101,1,more and more,ますます,The expression “more and more” is common in academic prose.,「more and more（ますます）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
102,1,less and less,ますます少なく,The expression “less and less” is common in academic prose.,「less and less（ますます少なく）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
103,1,little by little,少しずつ,The expression “little by little” is common in academic prose.,「little by little（少しずつ）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
104,1,step by step,段階的に,The expression “step by step” is common in academic prose.,「step by step（段階的に）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
105,1,one by one,一つずつ,The expression “one by one” is common in academic prose.,「one by one（一つずつ）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
106,1,side by side,並べて；並行して,The expression “side by side” is common in academic prose.,「side by side（並べて；並行して）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
107,1,on the one hand,一方では,The expression “on the one hand” is common in academic prose.,「on the one hand（一方では）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
108,1,on the other hand,他方では,The expression “on the other hand” is common in academic prose.,「on the other hand（他方では）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
109,1,in the first place,そもそも；第一に,The expression “in the first place” is common in academic prose.,「in the first place（そもそも；第一に）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
110,1,first of all,まず第一に,The expression “first of all” is common in academic prose.,「first of all（まず第一に）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
111,1,above all,何よりも,The expression “above all” is common in academic prose.,「above all（何よりも）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
112,1,after all,結局；そもそも,The expression “after all” is common in academic prose.,「after all（結局；そもそも）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
113,1,all in all,全体として,The expression “all in all” is common in academic prose.,「all in all（全体として）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
114,1,to begin with,まず；そもそも,The expression “to begin with” is common in academic prose.,「to begin with（まず；そもそも）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
115,1,at any rate,いずれにせよ,The expression “at any rate” is common in academic prose.,「at any rate（いずれにせよ）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
116,1,in any case,いずれにせよ,The expression “in any case” is common in academic prose.,「in any case（いずれにせよ）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
117,1,in either case,どちらの場合でも,The expression “in either case” is common in academic prose.,「in either case（どちらの場合でも）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
118,1,in both cases,どちらの場合も,The expression “in both cases” is common in academic prose.,「in both cases（どちらの場合も）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
119,1,in many cases,多くの場合,The expression “in many cases” is common in academic prose.,「in many cases（多くの場合）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
120,1,in some cases,場合によっては,The expression “in some cases” is common in academic prose.,「in some cases（場合によっては）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
121,1,in most cases,ほとんどの場合,The expression “in most cases” is common in academic prose.,「in most cases（ほとんどの場合）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
122,1,in rare cases,まれな場合には,The expression “in rare cases” is common in academic prose.,「in rare cases（まれな場合には）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
123,1,in practice,実際には；実践上,The expression “in practice” is common in academic prose.,「in practice（実際には；実践上）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
124,1,in theory,理論上は,The expression “in theory” is common in academic prose.,「in theory（理論上は）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
125,1,in principle,原理上は,The expression “in principle” is common in academic prose.,「in principle（原理上は）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
126,1,on average,平均すると,The expression “on average” is common in academic prose.,「on average（平均すると）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
127,1,in part,部分的には,The expression “in part” is common in academic prose.,「in part（部分的には）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
128,1,by and large,概して,The expression “by and large” is common in academic prose.,「by and large（概して）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
129,1,on this view,この見解では,The expression “on this view” is common in academic prose.,「on this view（この見解では）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
130,1,on this account,この説明では,The expression “on this account” is common in academic prose.,「on this account（この説明では）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
131,1,on this basis,この根拠に基づいて,The expression “on this basis” is common in academic prose.,「on this basis（この根拠に基づいて）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
132,1,in response to,〜に応答して,The expression “in response to” is common in academic prose.,「in response to（〜に応答して）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
133,1,with this in mind,これを念頭に置いて,The expression “with this in mind” is common in academic prose.,「with this in mind（これを念頭に置いて）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
134,1,in the light of,〜に照らして,The expression “in the light of” is common in academic prose.,「in the light of（〜に照らして）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
135,1,in relation to,〜との関係で,The expression “in relation to” is common in academic prose.,「in relation to（〜との関係で）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
136,1,with respect to,〜に関して,The expression “with respect to” is common in academic prose.,「with respect to（〜に関して）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
137,1,with regard to,〜に関して,The expression “with regard to” is common in academic prose.,「with regard to（〜に関して）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
138,1,as for,〜について言えば,The expression “as for” is common in academic prose.,「as for（〜について言えば）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
139,1,in comparison with,〜と比較すると,The expression “in comparison with” is common in academic prose.,「in comparison with（〜と比較すると）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
140,1,compared with,〜と比較して,The expression “compared with” is common in academic prose.,「compared with（〜と比較して）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
141,1,in favor of,〜を支持して,The expression “in favor of” is common in academic prose.,「in favor of（〜を支持して）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
142,1,with the exception of,〜を除いて,The expression “with the exception of” is common in academic prose.,「with the exception of（〜を除いて）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
143,1,in the absence of,〜がない場合に,The expression “in the absence of” is common in academic prose.,「in the absence of（〜がない場合に）」は学術英文でよく使われる。,Basic chunks,まず意味の塊として即座に処理したい基本表現。
144,1,on the whole,全体として,The expression “on the whole” is useful for reading this level of academic argument.,「on the whole（全体として）」はこの難易度帯の学術的議論を読むうえで有用である。,Basic chunks,読解時に一つの意味単位として認識する。
145,1,for the most part,大部分は,The expression “for the most part” is useful for reading this level of academic argument.,「for the most part（大部分は）」はこの難易度帯の学術的議論を読むうえで有用である。,Basic chunks,読解時に一つの意味単位として認識する。
